Status Beasiswa BI,NR,,,,,,,,,,,IP,Penghasilan Orang Tua,Tanggungan Orang Tua,Tahun Masuk,Usia
,2015 1,2015 2,2016 1,2016 2,2017 1,2017 2,2018 1,2018 2,2019 1,2019 2,2020 1,,,,,
Iya,,,,,3.19,3.45,2.93,2.95,2.62,3.13,3.37,3.35,1837300,3,2017,18
Iya,,,,,3.31,3.45,3.46,2.95,3.4,3.42,3.5,3.42,2500000,1,2017,19
Iya,,,,,3.83,3.61,3.86,4,3.82,3.94,3.83,3.72,1250000,4,2017,20
Iya,,,,,3.06,3.37,3.32,3.1,3.15,3.37,3.84,3.26,1000000,5,2017,20
Iya,,,,,3.59,3.24,3.12,3.16,3.61,3.5,3.74,3.4,1500000,2,2017,18
Iya,,,,,3.69,3.45,3.52,3.47,3.91,3.83,3.22,3.61,700000,2,2017,21
Iya,,,,,3.65,3.53,3.21,3.4,3.2,3.42,3.57,3.37,1500000,2,2017,21
Iya,,,,,,,3.33,3.67,3.62,3.14,3.28,3.54,2000000,4,2018,22
Iya,,,,,2.76,3.61,2.98,2.45,2.84,3.25,3.14,3.11,1500000,3,2017,19
Iya,,,,,3.53,3.53,3.5,3.55,3.71,3.29,3.59,3.52,0,2,2017,21
Iya,,,,,3.41,3.26,3.39,3.46,3.15,3,3.5,3.33,1700350,4,2017,18
Iya,,,,,3.29,3.47,3.09,2.84,3.63,3.58,3.89,3.27,1000000,4,2017,20
Iya,,,,,3.71,3.53,3.7,3.89,3.87,3.85,3.08,3.61,1500000,4,2017,19
Iya,,,,,3.82,3.21,3.63,3.31,3.53,3.55,3.78,3.49,1500000,6,2017,20
Iya,,,,,3.72,3.33,3.43,3.7,3.73,3.95,3.9,3.53,2500000,1,2017,19
Iya,,,,,3.44,3.45,3.39,3.22,3.68,3.57,3.89,3.44,1500000,2,2017,19
Iya,,,,,3.88,3.37,3.29,3.57,3.48,3.09,3.37,3.49,2000000,5,2017,21
Iya,,,,,2.76,3.61,2.98,2.45,2.84,3.25,3.14,3.21,1000000,3,2017,18
Iya,,,,,3.65,3.53,3.21,3.4,3.2,3.42,3.57,3.58,2000000,4,2017,18
Iya,,,3.29,3.47,3.7,3.33,3.26,2.96,1.76,,,3.4,1200000,1,2016,21
Iya,,,,,3.59,3,2.55,1.53,2.05,1.94,2.26,3.28,1000000,1,2017,18
Iya,,,,,2.94,3.29,3.26,2.87,2.88,3.11,3.68,3.13,2000000,2,2017,18
Iya,,,,,3.65,3.16,3.5,3.32,3.63,2.7,3.53,3.44,2500000,4,2017,20
Iya,,,,,3.31,3.2,3.32,3.29,4,3.7,3.94,3.24,1000000,1,2017,18
Iya,,,,,3.71,3.61,2.95,3.45,3.35,3.55,3.74,3.44,750000,1,2017,19
Iya,,,,,,,3.89,3.89,4,3.89,4,3.93,1870000,1,2018,19
Iya,,,,,3.32,3.29,2.7,2.12,2.39,3.05,3.46,3.23,2500000,3,2017,21
Iya,,,,,3.32,2.76,3.33,2.67,3,3.58,3.11,3.03,1200000,7,2017,19
Iya,,,,,3.71,3.53,3.69,3.26,3.27,3.64,3.74,3.47,1200000,3,2017,21
Iya,,,,,,,3.32,3.41,3.81,3.61,3.64,3.53,1500000,5,2018,20
Iya,,,,,3.65,3.53,3.21,3.4,3.2,3.42,3.57,3.43,1500000,4,2017,20
Iya,,,,,3.82,3.21,3.63,3.31,3.53,3.55,3.78,3.55,1500000,6,2017,19
Iya,,,,,3.29,3.47,3.09,2.84,3.63,3.58,3.89,3.39,750000,3,2017,19
Iya,,,,,3.81,3.7,3.48,3.47,3.04,3.29,2.92,3.76,2000000,3,2017,19
Iya,,,3.29,3.47,3.7,3.33,3.26,2.96,1.76,,,3.46,1200000,5,2016,20
Iya,,,,,,,3.83,3.56,3.8,3.71,3.91,3.73,1000000,3,2018,19
